Time;20210518_MCF7_Bmal1_Luc_1
56.0;3029.62
56.1667;3055.24
56.3333;3068.82
56.5;3059.85
56.6667;3099.77
56.8333;3100.4
57.0;3120.18
57.1667;3119.19
57.3333;3148.95
57.5;3162.33
57.6667;3165.72
57.8333;3193.86
58.0;3215.04
58.1667;3233.52
58.3333;3253.07
58.5;3262.03
58.6667;3291.98
58.8333;3315.16
59.0;3340.74
59.1667;3350.59
59.3333;3389.73
59.5;3405.17
59.6667;3422.49
59.8333;3443.26
60.0;3480.34
60.1667;3501.66
60.3333;3530.44
60.5;3555.0
60.6667;3584.74
60.8333;3592.24
61.0;3634.62
61.1667;3651.62
61.3333;3672.78
61.5;3698.99
61.6667;3739.24
61.8333;3735.95
62.0;3819.68
62.1667;3825.69
62.3333;3822.13
62.5;3866.04
62.6667;3903.89
62.8333;3925.58
63.0;3960.77
63.1667;3979.01
63.3333;4025.74
63.5;4041.84
63.6667;4067.54
63.8333;4097.61
64.0;4140.77
64.1667;4148.09
64.3333;4202.9
64.5;4237.39
64.6667;4253.27
64.8333;4295.91
65.0;4315.53
65.1667;4336.42
65.3333;4386.24
65.5;4396.17
65.6667;4438.23
65.8333;4459.02
66.0;4506.63
66.1667;4507.01
66.3333;4550.16
66.5;4563.02
66.6667;4593.23
66.8333;4640.43
67.0;4647.77
67.1667;4689.25
67.3333;4701.45
67.5;4705.81
67.6667;4741.22
67.8333;4764.55
68.0;4801.59
68.1667;4809.59
68.3333;4829.13
68.5;4852.25
68.6667;4873.13
68.8333;4892.95
69.0;4933.26
69.1667;4927.13
69.3333;4937.18
69.5;4965.53
69.6667;4958.12
69.8333;4979.23
70.0;5000.59
70.1667;5011.21
70.3333;5022.42
70.5;5029.59
70.6667;5064.79
70.8333;5069.89
71.0;5078.43
71.1667;5070.19
71.3333;5074.13
71.5;5100.52
71.6667;5124.93
71.8333;5109.5
72.0;5106.79
72.1667;5099.95
72.3333;5139.47
72.5;5152.04
72.6667;5147.8
72.8333;5156.05
73.0;5163.59
73.1667;5160.07
73.3333;5183.28
73.5;5176.88
73.6667;5197.02
73.8333;5199.37
74.0;5213.67
74.1667;5206.17
74.3333;5203.33
74.5;5205.88
74.6667;5224.1
74.8333;5230.17
75.0;5225.18
75.1667;5240.78
75.3333;5226.43
75.5;5230.2
75.6667;5238.18
75.8333;5258.54
76.0;5260.52
76.1667;5242.65
76.3333;5252.36
76.5;5268.19
76.6667;5274.89
76.8333;5277.66
77.0;5268.53
77.1667;5282.97
77.3333;5279.94
77.5;5284.12
77.6667;5288.02
77.8333;5283.16
78.0;5302.14
78.1667;5293.74
78.3333;5305.85
78.5;5318.43
78.6667;5297.33
78.8333;5333.02
79.0;5330.24
79.1667;5319.64
79.3333;5349.32
79.5;5351.89
79.6667;5354.02
79.8333;5382.67
80.0;5382.91
80.1667;5387.33
80.3333;5387.9
80.5;5399.6
80.6667;5417.09
80.8333;5431.23
81.0;5446.76
81.1667;5460.26
81.3333;5478.27
81.5;5486.09
81.6667;5515.99
81.8333;5521.61
82.0;5545.24
82.1667;5551.45
82.3333;5588.11
82.5;5606.94
82.6667;5602.82
82.8333;5650.09
83.0;5651.27
83.1667;5671.8
83.3333;5691.8
83.5;5726.02
83.6667;5737.43
83.8333;5763.31
84.0;5787.54
84.1667;5801.06
84.3333;5830.4
84.5;5849.91
84.6667;5876.41
84.8333;5884.24
85.0;5921.16
85.1667;5937.97
85.3333;5952.11
85.5;6002.49
85.6667;5999.67
85.8333;6028.03
86.0;6060.62
86.1667;6077.34
86.3333;6100.79
86.5;6139.43
86.6667;6145.15
86.8333;6169.4
87.0;6211.35
87.1667;6224.82
87.3333;6262.32
87.5;6286.48
87.6667;6315.03
87.8333;6351.3
88.0;6340.9
88.1667;6376.74
88.3333;6419.83
88.5;6434.82
88.6667;6444.73
88.8333;6463.45
89.0;6503.96
89.1667;6530.19
89.3333;6533.26
89.5;6548.07
89.6667;6585.66
89.8333;6599.78
90.0;6613.1
90.1667;6647.0
90.3333;6651.33
90.5;6661.59
90.6667;6700.13
90.8333;6719.14
91.0;6714.73
91.1667;6753.63
91.3333;6755.97
91.5;6773.51
91.6667;6779.28
91.8333;6797.84
92.0;6814.67
92.1667;6830.4
92.3333;6841.9
92.5;6869.73
92.6667;6873.34
92.8333;6869.0
93.0;6895.09
93.1667;6911.55
93.3333;6910.5
